State,Veteran Population*,Total Expenditure,Compensation & Pension,Construction,Education & Vocational Rehabilitation/ Employment,Loan Guaranty#,General Operating Expenses,Insurance & Indemnities,Medical Care,Unique Patients **
Alabama,414963,2824088,1580861,1922,189414,,33885,29857,988150,108175
Alaska,74671,501604,211260,616,61850,,6686,3441,217751,17304
Arizona                                                                                                                        ,527400,3220905,1409346,21201,343820,,108885,36145,1301507,137362
Arkansas                                                                                                                       ,250095,1946615,924671,7938,79063,,31331,13484,890127,86763
California,1795455,12707536,5397860,145008,1599760,,192392,162956,5209559,444432
Colorado                                                                                                                       ,390824,2594677,1212143,112614,324347,,62854,32483,850235,90822
Connecticut                                                                                                                      ,207759,1078567,365638,8332,96416,,13794,24195,570192,51360
Delaware                                                                                                                     ,78016,362617,169963,859,34331,,3895,5595,147974,14676
District of Columbia                                                                                                            ,31166,2295599,78699,153310,31054,,1825604,2785,204146,8800
Florida                                                                                                                     ,1520563,10430774,4728273,131870,892555,,146088,139645,4392344,479193
Georgia                                                                                                                     ,774464,4670709,2482164,3359,453034,,109242,48822,1574087,179821
Hawaii                                                                                                                     ,116947,754680,337919,1690,142729,,16013,13109,243220,23825
Idaho                                                                                                               ,138108,746018,334504,11690,51513,,7807,8006,332499,39928
Illinois                                                                                                               ,744710,3854717,1450236,18558,311330,,51835,65139,1957618,180384
Indiana                                                                                                               ,490380,2477767,1092855,8783,150033,,48931,27941,1149224,128499
Iowa                                                                                                              ,233815,1192889,505601,79,74079,,10585,18891,583653,72191
Kansas                                                                                                             ,223708,1237985,529023,743,103950,,27158,17340,559771,58097
Kentucky                                                                                                             ,339334,2229580,1087772,7129,139199,,37983,18871,938626,101096
Louisiana                                                                                                        ,315342,2202388,1016206,202777,120767,,26501,19941,816195,86890
Maine                                                                                                       ,127694,873125,467398,7,42577,,18277,9459,335408,39358
Maryland                                                                                                      ,443076,2453557,1047226,7521,333943,,24725,42512,997630,82183
Massachusetts,374809,2371613,985894,20552,192975,,32546,41235,1098412,84345
Michigan,660773,3361961,1675388,6185,208565,,51291,43961,1376571,146804
Minnesota,360754,2336965,986609,15600,133629,,82027,33370,1085731,113577
Mississippi,225469,1470950,666715,12230,88010,,29313,13394,661288,69676
Missouri                                                                                                                       ,497874,3025845,1386280,34423,189473,,146126,32796,1236747,137008
Montana                                                                                                                        ,101597,646509,290869,8,38237,,7765,7072,302558,35189
Nebraska                                                                                                                       ,138773,1023761,487975,9837,63597,,36470,12589,413294,47275
Nevada                                                                                                                         ,225933,1573091,641969,19641,95562,,13505,14516,787899,65443
New Hampshire                                                                                                                  ,110778,613805,268735,1282,50861,,6142,8473,278312,28604
New Jersey                                                                                                                    ,425094,1927021,906744,6578,196113,,15868,51994,749724,77179
New Mexico                                                                                                                     ,170699,1312943,686222,26571,67315,,12586,12750,507499,49981
New York                                                                                                                      ,885796,5621911,2063566,17521,493102,,120558,94116,2833048,231161
North Carolina                                                                                                                ,769384,5067823,2712319,21238,399186,,91538,53714,1789827,205006
North Dakota                                                                                                                   ,56213,334755,149596,2623,22770,,6479,3770,149518,18526
Ohio                                                                                                                           ,877894,6643911,1837567,34987,296446,,2202389,59096,2213426,223944
Oklahoma                                                                                                                      ,340395,2568390,1544376,5320,131030,,121588,19958,746118,90731
Oregon                                                                                                                         ,322355,2283129,1100287,36702,128169,,35298,23228,959445,96190
Pennsylvania                                                                                                                   ,953644,4782351,2029589,49407,359065,,158258,82386,2103647,232054
Rhode Island                                                                                                                   ,69206,474338,193988,2867,35525,,19476,5928,216555,20132
South Carolina                                                                                                                 ,420968,2876324,1557784,2557,223348,,63246,28310,1001079,123070
South Dakota                                                                                                                   ,75687,564489,209347,1976,30364,,10392,5461,306949,29744
Tennessee                                                                                                                      ,521267,3320710,1652616,6443,236754,,63014,33644,1328239,135582
Texas                                                                                                                          ,1667740,12943393,6091910,30026,1118114,1385063,220626,110750,3986903,434255
Utah                                                                                                                           ,150771,887516,350923,6163,85974,,53145,10033,381279,34062
Vermont                                                                                                                        ,48812,273966,118286,1105,20296,,3992,3340,126949,14925
Virginia                                                                                                                       ,840398,4653545,2291200,22761,874229,,61129,60779,1343447,142605
Washington                                                                                                                     ,602272,3384110,1788537,55674,343793,,67749,41915,1086440,118461
West Virginia                                                                                                                  ,173389,1601256,625689,6525,44341,,261560,9871,653270,58733
Wisconsin                                                                                                                     ,409419,2421849,972511,12224,133679,,69991,34398,1199045,118371
Wyoming                                                                                                                        ,56518,343611,127557,7264,15751,,1456,3131,188453,18583
Puerto Rico                                                                                                                   ,99928,1387777,697879,7756,46541,,19912,2496,613193,58009
Guam,9055,66330,46193, $- ,10629,,,495,9012,0
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,, . ,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,, 
